SOURCE_POOL;TARGET_POOL;SEMANTICS;P_PARTIAL;NOISE;NFILES_POS;N_FOLDS_SCORED;MEAN_TRANSFER_MCC;MIN_TRANSFER_MCC;MEAN_STORED_MCC_FULL;MEAN_TRANSFER_MINUS_STORED_FULL
dense;dense;ADM;0.5;0.0;20;5;0.970542;0.963177;0.949626;0.020915
dense;dense;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;ADM;0.5;0.1;20;5;0.865413;0.693889;0.844592;0.020822
dense;dense;ADM;0.5;0.1;60;5;0.908559;0.615882;0.930875;-0.022316
dense;dense;ADM;1.0;0.0;20;5;0.992635;0.963177;0.99801;-0.005375
dense;dense;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;ADM;1.0;0.1;20;5;0.919615;0.816497;0.926987;-0.007371
dense;dense;ADM;1.0;0.1;60;5;0.907549;0.848782;0.926702;-0.019152
dense;dense;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;dense;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;CMP;0.5;0.1;20;5;0.467447;0.0;0.464595;0.002851
dense;dense;CMP;0.5;0.1;60;4;0.975076;0.962575;0.965166;0.00991
dense;dense;CMP;1.0;0.0;20;5;0.937767;0.848782;0.922395;0.015372
dense;dense;CMP;1.0;0.0;60;5;0.997515;0.987577;0.992154;0.005362
dense;dense;CMP;1.0;0.1;20;5;0.949814;0.89317;0.921439;0.028375
dense;dense;CMP;1.0;0.1;60;5;0.987515;0.95;0.970084;0.017431
dense;dense;PRF;0.5;0.0;20;5;0.973138;0.939336;0.984251;-0.011113
dense;dense;PRF;0.5;0.0;60;5;0.977906;0.963177;0.994049;-0.016143
dense;dense;PRF;0.5;0.1;20;5;0.877368;0.559893;0.903176;-0.025808
dense;dense;PRF;0.5;0.1;60;5;0.972908;0.963177;0.986107;-0.013199
dense;dense;PRF;1.0;0.0;20;5;0.938707;0.840725;0.959336;-0.020629
dense;dense;PRF;1.0;0.0;60;5;0.945591;0.888125;0.97232;-0.02673
dense;dense;PRF;1.0;0.1;20;5;0.88597;0.750816;0.908106;-0.022135
dense;dense;PRF;1.0;0.1;60;5;0.922748;0.900281;0.958314;-0.035566
dense;dense;STB;0.5;0.0;20;5;0.982928;0.939336;0.976946;0.005982
dense;dense;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;STB;0.5;0.1;20;5;0.975621;0.939336;0.946503;0.029117
dense;dense;STB;0.5;0.1;60;5;0.990092;0.975305;0.992097;-0.002005
dense;dense;STB;1.0;0.0;20;5;0.995061;0.975305;0.996039;-0.000978
dense;dense;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;dense;STB;1.0;0.1;20;5;0.933436;0.859727;0.912985;0.020451
dense;dense;STB;1.0;0.1;60;5;0.956886;0.881917;0.9567;0.000186
dense;large;ADM;0.5;0.0;20;5;0.960952;0.95119;0.949626;0.011326
dense;large;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;ADM;0.5;0.1;20;5;0.82893;0.5581;0.844592;-0.015662
dense;large;ADM;0.5;0.1;60;5;0.91932;0.596601;0.930875;-0.011555
dense;large;ADM;1.0;0.0;20;5;0.990238;0.95119;0.99801;-0.007772
dense;large;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;ADM;1.0;0.1;20;5;0.970822;0.927613;0.926987;0.043835
dense;large;ADM;1.0;0.1;60;5;0.975968;0.904534;0.926702;0.049266
dense;large;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;large;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;CMP;0.5;0.1;20;5;0.456797;0.0;0.464595;-0.007798
dense;large;CMP;0.5;0.1;60;4;0.966737;0.927613;0.965166;0.001571
dense;large;CMP;1.0;0.0;20;5;0.951728;0.904534;0.922395;0.029333
dense;large;CMP;1.0;0.0;60;5;0.990238;0.95119;0.992154;-0.001916
dense;large;CMP;1.0;0.1;20;5;0.937944;0.859727;0.921439;0.016505
dense;large;CMP;1.0;0.1;60;5;0.973099;0.926158;0.970084;0.003014
dense;large;PRF;0.5;0.0;20;5;0.985271;0.963177;0.984251;0.00102
dense;large;PRF;0.5;0.0;60;5;0.977906;0.963177;0.994049;-0.016143
dense;large;PRF;0.5;0.1;20;5;0.852489;0.409736;0.903176;-0.050687
dense;large;PRF;0.5;0.1;60;5;0.977906;0.963177;0.986107;-0.008201
dense;large;PRF;1.0;0.0;20;5;0.957775;0.888125;0.959336;-0.001561
dense;large;PRF;1.0;0.0;60;5;0.958056;0.937573;0.97232;-0.014264
dense;large;PRF;1.0;0.1;20;5;0.952904;0.937573;0.908106;0.044798
dense;large;PRF;1.0;0.1;60;5;0.952935;0.937573;0.958314;-0.005378
dense;large;STB;0.5;0.0;20;5;0.997515;0.987577;0.976946;0.020569
dense;large;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;STB;0.5;0.1;20;5;0.992576;0.975305;0.946503;0.046073
dense;large;STB;0.5;0.1;60;5;0.995031;0.987577;0.992097;0.002934
dense;large;STB;1.0;0.0;20;5;1.0;1.0;0.996039;0.003961
dense;large;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;large;STB;1.0;0.1;20;5;0.942813;0.881917;0.912985;0.029828
dense;large;STB;1.0;0.1;60;5;0.985383;0.939336;0.9567;0.028683
dense;self;ADM;0.5;0.0;20;5;0.914536;0.89317;0.949626;-0.03509
dense;self;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;ADM;0.5;0.1;20;5;0.880807;0.764303;0.844592;0.036216
dense;self;ADM;0.5;0.1;60;5;0.847841;0.25163;0.930875;-0.083034
dense;self;ADM;1.0;0.0;20;5;0.978634;0.89317;0.99801;-0.019376
dense;self;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;ADM;1.0;0.1;20;5;0.935286;0.89317;0.926987;0.008299
dense;self;ADM;1.0;0.1;60;5;0.949718;0.870771;0.926702;0.023016
dense;self;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;self;CMP;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;CMP;0.5;0.1;20;5;0.436333;0.0;0.464595;-0.028262
dense;self;CMP;0.5;0.1;60;4;0.91722;0.834441;0.965166;-0.047946
dense;self;CMP;1.0;0.0;20;5;0.956694;0.820291;0.922395;0.034299
dense;self;CMP;1.0;0.0;60;5;0.8;0.0;0.992154;-0.192154
dense;self;CMP;1.0;0.1;20;5;0.945437;0.764303;0.921439;0.023998
dense;self;CMP;1.0;0.1;60;5;0.945522;0.834441;0.970084;-0.024562
dense;self;PRF;0.5;0.0;20;5;0.87568;0.654654;0.984251;-0.108571
dense;self;PRF;0.5;0.0;60;5;0.792792;0.654654;0.994049;-0.201257
dense;self;PRF;0.5;0.1;20;5;0.57314;0.470504;0.903176;-0.330037
dense;self;PRF;0.5;0.1;60;5;0.768792;0.586973;0.986107;-0.217315
dense;self;PRF;1.0;0.0;20;5;0.725659;0.370091;0.959336;-0.233677
dense;self;PRF;1.0;0.0;60;5;0.630897;0.586973;0.97232;-0.341423
dense;self;PRF;1.0;0.1;20;5;0.566832;0.311866;0.908106;-0.341274
dense;self;PRF;1.0;0.1;60;5;0.499906;0.243379;0.958314;-0.458408
dense;self;STB;0.5;0.0;20;5;0.997515;0.987577;0.976946;0.020569
dense;self;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;STB;0.5;0.1;20;5;0.975614;0.927613;0.946503;0.029111
dense;self;STB;0.5;0.1;60;5;1.0;1.0;0.992097;0.007903
dense;self;STB;1.0;0.0;20;5;1.0;1.0;0.996039;0.003961
dense;self;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;self;STB;1.0;0.1;20;5;0.947819;0.870771;0.912985;0.034834
dense;self;STB;1.0;0.1;60;5;0.970956;0.916013;0.9567;0.014256
dense;sparse;ADM;0.5;0.0;20;5;0.94209;0.927613;0.949626;-0.007536
dense;sparse;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;sparse;ADM;0.5;0.1;20;5;0.809366;0.470504;0.844592;-0.035225
dense;sparse;ADM;0.5;0.1;60;5;0.904301;0.6742;0.930875;-0.026574
dense;sparse;ADM;1.0;0.0;20;5;0.985523;0.927613;0.99801;-0.012487
dense;sparse;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;sparse;ADM;1.0;0.1;20;5;0.889874;0.78496;0.926987;-0.037113
dense;sparse;ADM;1.0;0.1;60;5;0.870521;0.78496;0.926702;-0.056181
dense;sparse;CMP;0.5;0.0;20;5;1.0;1.0;1.0;0.0
dense;sparse;CMP;0.5;0.0;60;5;0.997515;0.987577;1.0;-0.002485
dense;sparse;CMP;0.5;0.1;20;5;0.468153;0.0;0.464595;0.003558
dense;sparse;CMP;0.5;0.1;60;4;0.945023;0.913142;0.965166;-0.020143
dense;sparse;CMP;1.0;0.0;20;5;0.927853;0.837931;0.922395;0.005458
dense;sparse;CMP;1.0;0.0;60;5;0.997515;0.987577;0.992154;0.005362
dense;sparse;CMP;1.0;0.1;20;5;0.966088;0.904534;0.921439;0.044649
dense;sparse;CMP;1.0;0.1;60;5;0.948121;0.888125;0.970084;-0.021964
dense;sparse;PRF;0.5;0.0;20;5;0.963705;0.916013;0.984251;-0.020546
dense;sparse;PRF;0.5;0.0;60;5;0.977906;0.963177;0.994049;-0.016143
dense;sparse;PRF;0.5;0.1;20;5;0.789674;0.206559;0.903176;-0.113502
dense;sparse;PRF;0.5;0.1;60;5;0.961117;0.939336;0.986107;-0.02499
dense;sparse;PRF;1.0;0.0;20;5;0.914664;0.817691;0.959336;-0.044672
dense;sparse;PRF;1.0;0.0;60;5;0.921172;0.887569;0.97232;-0.051149
dense;sparse;PRF;1.0;0.1;20;5;0.854225;0.767371;0.908106;-0.053881
dense;sparse;PRF;1.0;0.1;60;5;0.907938;0.888125;0.958314;-0.050376
dense;sparse;STB;0.5;0.0;20;5;0.975761;0.927613;0.976946;-0.001185
dense;sparse;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
dense;sparse;STB;0.5;0.1;20;5;0.963622;0.927613;0.946503;0.017118
dense;sparse;STB;0.5;0.1;60;5;0.985182;0.963177;0.992097;-0.006916
dense;sparse;STB;1.0;0.0;20;5;0.990238;0.95119;0.996039;-0.005801
dense;sparse;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
dense;sparse;STB;1.0;0.1;20;5;0.918843;0.881917;0.912985;0.005858
dense;sparse;STB;1.0;0.1;60;5;0.928086;0.774597;0.9567;-0.028614
large;dense;ADM;0.5;0.0;20;5;1.0;1.0;1.0;0.0
large;dense;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
large;dense;ADM;0.5;0.1;20;4;0.758588;0.6742;0.620143;0.138445
large;dense;ADM;0.5;0.1;60;2;0.928611;0.881917;0.991735;-0.063124
large;dense;ADM;1.0;0.0;20;5;1.0;1.0;1.0;0.0
large;dense;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
large;dense;ADM;1.0;0.1;20;5;0.845893;0.743907;0.881332;-0.035439
large;dense;ADM;1.0;0.1;60;5;0.968774;0.904534;0.986932;-0.018158
large;dense;CMP;0.5;0.0;20;5;0.93171;0.743907;0.921169;0.010541
large;dense;CMP;0.5;0.0;60;4;0.969668;0.939336;0.995867;-0.026199
large;dense;CMP;0.5;0.1;20;2;0.653211;0.367086;0.743471;-0.09026
large;dense;CMP;0.5;0.1;60;2;0.987577;0.987577;1.0;-0.012423
large;dense;CMP;1.0;0.0;20;5;0.902085;0.795395;0.946352;-0.044266
large;dense;CMP;1.0;0.0;60;5;0.963602;0.939336;0.996694;-0.033092
large;dense;CMP;1.0;0.1;20;5;0.785565;0.654654;0.916303;-0.130738
large;dense;CMP;1.0;0.1;60;5;0.928693;0.848782;0.974015;-0.045321
large;dense;PRF;0.5;0.0;20;4;0.9625;0.925;0.9834;-0.0209
large;dense;PRF;0.5;0.0;60;3;1.0;1.0;1.0;0.0
large;dense;PRF;0.5;0.1;20;2;0.45014;0.0;0.491735;-0.041594
large;dense;PRF;1.0;0.0;20;5;0.863047;0.806324;0.934846;-0.071799
large;dense;PRF;1.0;0.0;60;5;0.963177;0.963177;0.986829;-0.023652
large;dense;PRF;1.0;0.1;20;5;0.791381;0.665601;0.876476;-0.085094
large;dense;PRF;1.0;0.1;60;5;0.843944;0.795052;0.944536;-0.100591
large;dense;STB;0.5;0.0;20;5;0.978105;0.939336;0.993388;-0.015283
large;dense;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
large;dense;STB;0.5;0.1;20;3;0.971456;0.95119;1.0;-0.028544
large;dense;STB;0.5;0.1;60;4;0.987615;0.975305;1.0;-0.012385
large;dense;STB;1.0;0.0;20;5;0.985299;0.95119;0.968336;0.016963
large;dense;STB;1.0;0.0;60;5;0.98036;0.95119;0.986932;-0.006572
large;dense;STB;1.0;0.1;20;5;0.902665;0.774597;0.974211;-0.071546
large;dense;STB;1.0;0.1;60;5;0.954024;0.916013;0.983576;-0.029551
large;large;ADM;0.5;0.0;20;5;1.0;1.0;1.0;0.0
large;large;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
large;large;ADM;0.5;0.1;20;4;0.746865;0.635223;0.620143;0.126722
large;large;ADM;0.5;0.1;60;2;1.0;1.0;0.991735;0.008265
large;large;ADM;1.0;0.0;20;5;1.0;1.0;1.0;0.0
large;large;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
large;large;ADM;1.0;0.1;20;5;0.918375;0.837931;0.881332;0.037043
large;large;ADM;1.0;0.1;60;5;0.990122;0.975305;0.986932;0.00319
large;large;CMP;0.5;0.0;20;5;0.937576;0.78496;0.921169;0.016407
large;large;CMP;0.5;0.0;60;4;0.987653;0.975305;0.995867;-0.008215
large;large;CMP;0.5;0.1;20;2;0.660048;0.344791;0.743471;-0.083423
large;large;CMP;0.5;0.1;60;2;1.0;1.0;1.0;0.0
large;large;CMP;1.0;0.0;20;5;0.93765;0.881917;0.946352;-0.008701
large;large;CMP;1.0;0.0;60;5;0.985183;0.975305;0.996694;-0.011511
large;large;CMP;1.0;0.1;20;5;0.87736;0.774597;0.916303;-0.038943
large;large;CMP;1.0;0.1;60;5;0.959141;0.881917;0.974015;-0.014874
large;large;PRF;0.5;0.0;20;4;0.981588;0.963177;0.9834;-0.001812
large;large;PRF;0.5;0.0;60;3;1.0;1.0;1.0;0.0
large;large;PRF;0.5;0.1;20;2;0.493789;0.0;0.491735;0.002054
large;large;PRF;1.0;0.0;20;5;0.920723;0.86419;0.934846;-0.014123
large;large;PRF;1.0;0.0;60;5;0.963177;0.963177;0.986829;-0.023652
large;large;PRF;1.0;0.1;20;5;0.87682;0.829156;0.876476;0.000345
large;large;PRF;1.0;0.1;60;5;0.937724;0.912571;0.944536;-0.006812
large;large;STB;0.5;0.0;20;5;0.995031;0.987577;0.993388;0.001643
large;large;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
large;large;STB;0.5;0.1;20;3;0.995859;0.987577;1.0;-0.004141
large;large;STB;0.5;0.1;60;4;0.996894;0.987577;1.0;-0.003106
large;large;STB;1.0;0.0;20;5;0.985523;0.927613;0.968336;0.017187
large;large;STB;1.0;0.0;60;5;0.997515;0.987577;0.986932;0.010583
large;large;STB;1.0;0.1;20;5;0.948682;0.816497;0.974211;-0.025529
large;large;STB;1.0;0.1;60;5;0.985269;0.95119;0.983576;0.001693
self;dense;ADM;0.5;0.0;20;5;0.908105;0.57735;1.0;-0.091895
self;dense;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
self;dense;ADM;0.5;0.1;20;5;0.651831;0.234989;0.710362;-0.058531
self;dense;ADM;0.5;0.1;60;4;0.967693;0.870771;0.976134;-0.008441
self;dense;ADM;1.0;0.0;20;5;0.868237;0.57735;0.95674;-0.088503
self;dense;ADM;1.0;0.0;60;5;0.91547;0.57735;0.993441;-0.077971
self;dense;ADM;1.0;0.1;20;5;0.718619;0.213896;0.887807;-0.169188
self;dense;ADM;1.0;0.1;60;5;0.884119;0.703795;0.961431;-0.077312
self;dense;CMP;0.5;0.0;20;5;0.843125;0.625543;0.967788;-0.124664
self;dense;CMP;0.5;0.0;60;5;0.954272;0.916013;0.993441;-0.039168
self;dense;CMP;0.5;0.1;20;5;0.726493;0.650678;0.603134;0.123359
self;dense;CMP;0.5;0.1;60;2;0.8121;0.6742;0.747343;0.064757
self;dense;CMP;1.0;0.0;20;5;0.860978;0.733799;0.948513;-0.087536
self;dense;CMP;1.0;0.0;60;5;0.992546;0.987577;0.987083;0.005463
self;dense;CMP;1.0;0.1;20;5;0.722752;0.430331;0.862679;-0.139927
self;dense;CMP;1.0;0.1;60;5;0.791951;0.635223;0.937367;-0.145415
self;dense;PRF;0.5;0.0;20;5;0.992635;0.963177;0.94676;0.045876
self;dense;PRF;0.5;0.0;60;5;1.0;1.0;1.0;0.0
self;dense;PRF;0.5;0.1;20;3;0.536737;-0.290382;0.519869;0.016868
self;dense;PRF;0.5;0.1;60;1;0.963177;0.963177;0.748455;0.214722
self;dense;PRF;1.0;0.0;20;5;0.750199;0.490748;0.851024;-0.100825
self;dense;PRF;1.0;0.0;60;5;0.931051;0.840725;0.734976;0.196076
self;dense;PRF;1.0;0.1;20;3;0.693705;0.542137;0.326495;0.36721
self;dense;PRF;1.0;0.1;60;1;0.912571;0.912571;0.663914;0.248657
self;dense;STB;0.5;0.0;20;5;0.878775;0.480384;0.993441;-0.114666
self;dense;STB;0.5;0.0;60;5;0.980244;0.975305;1.0;-0.019756
self;dense;STB;0.5;0.1;20;5;0.50903;-0.012726;0.731051;-0.222021
self;dense;STB;0.5;0.1;60;3;0.94239;0.82717;0.967539;-0.025149
self;dense;STB;1.0;0.0;20;5;0.834205;0.57735;0.980907;-0.146702
self;dense;STB;1.0;0.0;60;5;0.975968;0.904534;1.0;-0.024032
self;dense;STB;1.0;0.1;20;5;0.825193;0.654654;0.961047;-0.135854
self;dense;STB;1.0;0.1;60;5;0.813879;0.606235;0.924347;-0.110467
self;self;ADM;0.5;0.0;20;5;0.976149;0.89317;1.0;-0.023851
self;self;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
self;self;ADM;0.5;0.1;20;5;0.754924;0.408202;0.710362;0.044562
self;self;ADM;0.5;0.1;60;4;0.987653;0.975305;0.976134;0.011519
self;self;ADM;1.0;0.0;20;5;0.950282;0.881917;0.95674;-0.006458
self;self;ADM;1.0;0.0;60;5;0.997515;0.987577;0.993441;0.004075
self;self;ADM;1.0;0.1;20;5;0.883382;0.825;0.887807;-0.004425
self;self;ADM;1.0;0.1;60;5;0.963514;0.927613;0.961431;0.002083
self;self;CMP;0.5;0.0;20;5;0.997515;0.987577;0.967788;0.029727
self;self;CMP;0.5;0.0;60;5;1.0;1.0;0.993441;0.006559
self;self;CMP;0.5;0.1;20;5;0.634593;0.245049;0.603134;0.031458
self;self;CMP;0.5;0.1;60;2;0.827344;0.805906;0.747343;0.080001
self;self;CMP;1.0;0.0;20;5;0.985212;0.963177;0.948513;0.036698
self;self;CMP;1.0;0.0;60;5;1.0;1.0;0.987083;0.012917
self;self;CMP;1.0;0.1;20;5;0.886793;0.813072;0.862679;0.024114
self;self;CMP;1.0;0.1;60;5;0.965911;0.927613;0.937367;0.028545
self;self;PRF;0.5;0.0;20;5;0.930931;0.654654;0.94676;-0.015829
self;self;PRF;0.5;0.0;60;5;1.0;1.0;1.0;0.0
self;self;PRF;0.5;0.1;20;3;0.505561;0.351671;0.519869;-0.014308
self;self;PRF;0.5;0.1;60;1;0.712485;0.712485;0.748455;-0.03597
self;self;PRF;1.0;0.0;20;5;0.854542;0.654654;0.851024;0.003518
self;self;PRF;1.0;0.0;60;5;0.666811;0.370091;0.734976;-0.068165
self;self;PRF;1.0;0.1;20;3;0.358141;0.05287;0.326495;0.031646
self;self;PRF;1.0;0.1;60;1;0.514336;0.514336;0.663914;-0.149578
self;self;STB;0.5;0.0;20;5;0.992635;0.963177;0.993441;-0.000805
self;self;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
self;self;STB;0.5;0.1;20;5;0.770428;0.539781;0.731051;0.039377
self;self;STB;0.5;0.1;60;3;0.995859;0.987577;0.967539;0.02832
self;self;STB;1.0;0.0;20;5;0.973052;0.95119;0.980907;-0.007854
self;self;STB;1.0;0.0;60;5;1.0;1.0;1.0;0.0
self;self;STB;1.0;0.1;20;5;0.932551;0.89317;0.961047;-0.028497
self;self;STB;1.0;0.1;60;5;0.925438;0.89317;0.924347;0.001091
sparse;dense;ADM;0.5;0.0;20;5;1.0;1.0;1.0;0.0
sparse;dense;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;dense;ADM;0.5;0.1;20;5;0.816699;0.192704;0.850399;-0.033701
sparse;dense;ADM;0.5;0.1;60;5;0.966534;0.881917;0.932629;0.033905
sparse;dense;ADM;1.0;0.0;20;5;0.985271;0.963177;0.964109;0.021161
sparse;dense;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
sparse;dense;ADM;1.0;0.1;20;5;0.949375;0.89317;0.928894;0.020481
sparse;dense;ADM;1.0;0.1;60;5;0.96837;0.939336;0.966534;0.001835
sparse;dense;CMP;0.5;0.0;20;5;0.970956;0.916013;0.950304;0.020652
sparse;dense;CMP;0.5;0.0;60;5;0.997515;0.987577;1.0;-0.002485
sparse;dense;CMP;0.5;0.1;20;5;0.789157;0.080064;0.801543;-0.012386
sparse;dense;CMP;0.5;0.1;60;5;0.929519;0.697137;0.893707;0.035812
sparse;dense;CMP;1.0;0.0;20;5;0.935857;0.848782;0.917963;0.017894
sparse;dense;CMP;1.0;0.0;60;5;0.995031;0.987577;0.995061;-3e-05
sparse;dense;CMP;1.0;0.1;20;5;0.957364;0.848782;0.926551;0.030812
sparse;dense;CMP;1.0;0.1;60;5;0.987607;0.975305;0.980243;0.007364
sparse;dense;PRF;0.5;0.0;20;5;0.985271;0.963177;0.985383;-0.000112
sparse;dense;PRF;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;dense;PRF;0.5;0.1;20;5;0.855396;0.635223;0.809012;0.046384
sparse;dense;PRF;0.5;0.1;60;4;0.959653;0.900281;0.953871;0.005782
sparse;dense;PRF;1.0;0.0;20;5;0.958025;0.950297;0.941195;0.01683
sparse;dense;PRF;1.0;0.0;60;5;0.958409;0.939336;0.949368;0.00904
sparse;dense;PRF;1.0;0.1;20;5;0.742579;0.511372;0.868572;-0.125992
sparse;dense;PRF;1.0;0.1;60;5;0.906768;0.806324;0.928262;-0.021494
sparse;dense;STB;0.5;0.0;20;5;0.990122;0.975305;0.987696;0.002426
sparse;dense;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;dense;STB;0.5;0.1;20;5;0.980273;0.963177;0.971058;0.009215
sparse;dense;STB;0.5;0.1;60;5;0.975968;0.904534;0.982757;-0.00679
sparse;dense;STB;1.0;0.0;20;5;1.0;1.0;1.0;0.0
sparse;dense;STB;1.0;0.0;60;5;0.995061;0.975305;0.997515;-0.002454
sparse;dense;STB;1.0;0.1;20;5;0.923123;0.78496;0.911152;0.011971
sparse;dense;STB;1.0;0.1;60;5;0.958521;0.939336;0.951244;0.007277
sparse;sparse;ADM;0.5;0.0;20;5;1.0;1.0;1.0;0.0
sparse;sparse;ADM;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;sparse;ADM;0.5;0.1;20;5;0.850269;0.40625;0.850399;-0.000131
sparse;sparse;ADM;0.5;0.1;60;5;0.944055;0.805906;0.932629;0.011426
sparse;sparse;ADM;1.0;0.0;20;5;0.971045;0.927613;0.964109;0.006936
sparse;sparse;ADM;1.0;0.0;60;5;1.0;1.0;1.0;0.0
sparse;sparse;ADM;1.0;0.1;20;5;0.933325;0.870771;0.928894;0.004431
sparse;sparse;ADM;1.0;0.1;60;5;0.956479;0.916013;0.966534;-0.010056
sparse;sparse;CMP;0.5;0.0;20;5;0.975673;0.927613;0.950304;0.02537
sparse;sparse;CMP;0.5;0.0;60;5;0.997515;0.987577;1.0;-0.002485
sparse;sparse;CMP;0.5;0.1;20;5;0.804737;0.258199;0.801543;0.003194
sparse;sparse;CMP;0.5;0.1;60;5;0.933153;0.774597;0.893707;0.039445
sparse;sparse;CMP;1.0;0.0;20;5;0.940722;0.837931;0.917963;0.022759
sparse;sparse;CMP;1.0;0.0;60;5;0.995031;0.987577;0.995061;-3e-05
sparse;sparse;CMP;1.0;0.1;20;5;0.926511;0.837931;0.926551;-4e-05
sparse;sparse;CMP;1.0;0.1;60;5;0.982814;0.95119;0.980243;0.002572
sparse;sparse;PRF;0.5;0.0;20;5;0.985271;0.963177;0.985383;-0.000112
sparse;sparse;PRF;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;sparse;PRF;0.5;0.1;20;5;0.824484;0.52915;0.809012;0.015472
sparse;sparse;PRF;0.5;0.1;60;4;0.953914;0.913142;0.953871;4.3e-05
sparse;sparse;PRF;1.0;0.0;20;5;0.923714;0.900281;0.941195;-0.017481
sparse;sparse;PRF;1.0;0.0;60;5;0.944208;0.916013;0.949368;-0.005161
sparse;sparse;PRF;1.0;0.1;20;5;0.859322;0.80226;0.868572;-0.009249
sparse;sparse;PRF;1.0;0.1;60;5;0.910463;0.850266;0.928262;-0.017799
sparse;sparse;STB;0.5;0.0;20;5;0.980476;0.95119;0.987696;-0.00722
sparse;sparse;STB;0.5;0.0;60;5;1.0;1.0;1.0;0.0
sparse;sparse;STB;0.5;0.1;20;5;0.966076;0.916013;0.971058;-0.004982
sparse;sparse;STB;0.5;0.1;60;5;0.982814;0.95119;0.982757;5.7e-05
sparse;sparse;STB;1.0;0.0;20;5;1.0;1.0;1.0;0.0
sparse;sparse;STB;1.0;0.0;60;5;0.990238;0.95119;0.997515;-0.007277
sparse;sparse;STB;1.0;0.1;20;5;0.910971;0.795395;0.911152;-0.000181
sparse;sparse;STB;1.0;0.1;60;5;0.918922;0.881917;0.951244;-0.032321
